,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,score_add
34603,2013-06-02,Brazil,England,2,2,Friendly,Rio de Janeiro,Brazil,False,4
34829,2013-08-14,England,Scotland,3,2,Friendly,London,England,False,5
34900,2013-09-06,England,Moldova,4,0,FIFA World Cup qualification,London,England,False,4
34996,2013-09-10,Ukraine,England,0,0,FIFA World Cup qualification,Kyïv,Ukraine,False,0
35021,2013-10-11,England,Montenegro,4,1,FIFA World Cup qualification,London,England,False,5
35062,2013-10-15,England,Poland,2,0,FIFA World Cup qualification,London,England,False,2
35119,2013-11-15,England,Chile,0,2,Friendly,London,England,False,2
35167,2013-11-19,England,Germany,0,1,Friendly,London,England,False,1
35308,2014-03-05,England,Denmark,1,0,Friendly,London,England,False,1
35442,2014-05-30,England,Peru,3,0,Friendly,London,England,False,3
35492,2014-06-04,Ecuador,England,2,2,Friendly,Miami Gardens,USA,True,4
35516,2014-06-07,Honduras,England,0,0,Friendly,Miami Gardens,USA,True,0
35529,2014-06-14,England,Italy,1,2,FIFA World Cup,Manaus,Brazil,True,3
35547,2014-06-19,Uruguay,England,2,1,FIFA World Cup,São Paulo,Brazil,True,3
35563,2014-06-24,Costa Rica,England,0,0,FIFA World Cup,Belo Horizonte,Brazil,True,0
35643,2014-09-03,England,Norway,1,0,Friendly,London,England,False,1
35721,2014-09-08,Switzerland,England,0,2,UEFA Euro qualification,Basel,Switzerland,False,2
35766,2014-10-09,England,San Marino,5,0,UEFA Euro qualification,London,England,False,5
35826,2014-10-12,Estonia,England,0,1,UEFA Euro qualification,Tallinn,Estonia,False,1
35954,2014-11-15,England,Slovenia,3,1,UEFA Euro qualification,London,England,False,4
36009,2014-11-18,Scotland,England,1,3,Friendly,Glasgow,Scotland,False,4
36203,2015-03-27,England,Lithuania,4,0,UEFA Euro qualification,London,England,False,4
36266,2015-03-31,Italy,England,1,1,Friendly,Turin,Italy,False,2
36354,2015-06-07,Ireland,England,0,0,Friendly,Dublin,Ireland,False,0
36449,2015-06-14,Slovenia,England,2,3,UEFA Euro qualification,Ljubljana,Slovenia,False,5
36620,2015-09-05,San Marino,England,0,6,UEFA Euro qualification,Serravalle,San Marino,False,6
36662,2015-09-08,England,Switzerland,2,0,UEFA Euro qualification,London,England,False,2
36731,2015-10-09,England,Estonia,2,0,UEFA Euro qualification,London,England,False,2
36777,2015-10-12,Lithuania,England,0,3,UEFA Euro qualification,Vilnius,Lithuania,False,3
36913,2015-11-13,Spain,England,2,0,Friendly,Alicante,Spain,False,2
36949,2015-11-17,England,France,2,0,Friendly,London,England,False,2
37162,2016-03-26,Germany,England,2,3,Friendly,Berlin,Germany,False,5
37196,2016-03-29,England,Netherlands,1,2,Friendly,London,England,False,3
37251,2016-05-22,England,Turkey,2,1,Friendly,Manchester,England,False,3
37258,2016-05-27,England,Australia,2,1,Friendly,Sunderland,England,False,3
37315,2016-06-02,England,Portugal,1,0,Friendly,London,England,False,1
37415,2016-06-11,England,Russia,1,1,UEFA Euro,Marseille,France,True,2
37448,2016-06-16,England,Wales,2,1,UEFA Euro,Lens,France,True,3
37470,2016-06-20,Slovakia,England,0,0,UEFA Euro,Saint-Étienne,France,True,0
37498,2016-06-27,England,Iceland,1,2,UEFA Euro,Nice,France,True,3
37588,2016-09-04,Slovakia,England,0,1,FIFA World Cup qualification,Trnava,Slovakia,False,1
37687,2016-10-08,England,Malta,2,0,FIFA World Cup qualification,London,England,False,2
37756,2016-10-11,Slovenia,England,0,0,FIFA World Cup qualification,Ljubljana,Slovenia,False,0
37804,2016-11-11,England,Scotland,3,0,FIFA World Cup qualification,London,England,False,3
37865,2016-11-15,England,Spain,2,2,Friendly,London,England,False,4
37992,2017-03-22,Germany,England,1,0,Friendly,Dortmund,Germany,False,1
38050,2017-03-26,England,Lithuania,2,0,FIFA World Cup qualification,London,England,False,2
38209,2017-06-10,Scotland,England,2,2,FIFA World Cup qualification,Glasgow,Scotland,False,4
38243,2017-06-13,France,England,3,2,Friendly,Saint-Denis,France,False,5
38393,2017-09-01,Malta,England,0,4,FIFA World Cup qualification,Attard,Malta,False,4
38433,2017-09-04,England,Slovakia,2,1,FIFA World Cup qualification,London,England,False,3
38494,2017-10-05,England,Slovenia,1,0,FIFA World Cup qualification,London,England,False,1
38550,2017-10-08,Lithuania,England,0,1,FIFA World Cup qualification,Vilnius,Lithuania,False,1
38621,2017-11-10,England,Germany,0,0,Friendly,London,England,False,0
38674,2017-11-14,England,Brazil,0,0,Friendly,London,England,False,0
38824,2018-03-23,Netherlands,England,0,1,Friendly,Amsterdam,Netherlands,False,1
38881,2018-03-27,England,Italy,1,1,Friendly,London,England,False,2
38981,2018-06-02,England,Nigeria,2,1,Friendly,London,England,False,3
