,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,score_add
5784,1965-05-12,Germany,England,0,1,Friendly,Nuremberg,Germany,False,1
5789,1965-05-16,Sweden,England,1,2,Friendly,Gothenburg,Sweden,False,3
5917,1965-10-02,Wales,England,0,0,British Championship,Cardiff,Wales,False,0
5929,1965-10-20,England,Austria,2,3,Friendly,London,England,False,5
5949,1965-11-10,England,Northern Ireland,2,1,British Championship,London,England,False,3
5990,1965-12-08,Spain,England,0,2,Friendly,Madrid,Spain,False,2
5996,1966-01-05,England,Poland,1,1,Friendly,Liverpool,England,False,2
6000,1966-02-23,England,Germany,1,0,Friendly,London,England,False,1
6023,1966-04-02,Scotland,England,3,4,British Championship,Glasgow,Scotland,False,7
6055,1966-05-04,England,Yugoslavia,2,0,Friendly,London,England,False,2
6119,1966-06-26,Finland,England,0,3,Friendly,Helsinki,Finland,False,3
6124,1966-06-29,Norway,England,1,6,Friendly,Oslo,Norway,False,7
6129,1966-07-03,Denmark,England,0,2,Friendly,Copenhagen,Denmark,False,2
6133,1966-07-05,Poland,England,0,1,Friendly,Chorzów,Poland,False,1
6139,1966-07-11,England,Uruguay,0,0,FIFA World Cup,London,England,False,0
6153,1966-07-16,England,Mexico,2,0,FIFA World Cup,London,England,False,2
6162,1966-07-20,England,France,2,0,FIFA World Cup,London,England,False,2
6165,1966-07-23,England,Argentina,1,0,FIFA World Cup,London,England,False,1
6170,1966-07-26,England,Portugal,2,1,FIFA World Cup,London,England,False,3
6172,1966-07-30,England,Germany,4,2,FIFA World Cup,London,England,False,6
6231,1966-10-22,Northern Ireland,England,0,2,UEFA Euro qualification,Belfast,Northern Ireland,False,2
6241,1966-11-02,England,Czechoslovakia,0,0,Friendly,London,England,False,0
6259,1966-11-16,England,Wales,5,1,UEFA Euro qualification,London,England,False,6
6405,1967-04-15,England,Scotland,2,3,UEFA Euro qualification,London,England,False,5
6427,1967-05-24,England,Spain,2,0,Friendly,London,England,False,2
6430,1967-05-27,Austria,England,0,1,Friendly,Vienna,Austria,False,1
6552,1967-10-21,Wales,England,0,3,UEFA Euro qualification,Cardiff,Wales,False,3
6604,1967-11-22,England,Northern Ireland,2,0,UEFA Euro qualification,London,England,False,2
6626,1967-12-06,England,Russia,2,2,Friendly,London,England,False,4
6663,1968-02-24,Scotland,England,1,1,UEFA Euro qualification,Glasgow,Scotland,False,2
6679,1968-04-03,England,Spain,1,0,UEFA Euro qualification,London,England,False,1
6703,1968-05-08,Spain,England,1,2,UEFA Euro qualification,Madrid,Spain,False,3
6721,1968-05-22,England,Sweden,3,1,Friendly,London,England,False,4
6724,1968-06-01,Germany,England,1,0,Friendly,Hanover,Germany,False,1
6728,1968-06-05,England,Yugoslavia,0,1,UEFA Euro,Florence,Italy,True,1
6731,1968-06-08,England,Russia,2,0,UEFA Euro,Rome,Italy,True,2
6868,1968-11-06,Romania,England,0,0,Friendly,Bucharest,Romania,False,0
6920,1968-12-11,England,Bulgaria,1,1,Friendly,London,England,False,2
6952,1969-01-15,England,Romania,1,1,Friendly,London,England,False,2
6983,1969-03-12,England,France,5,0,Friendly,London,England,False,5
7016,1969-05-03,Northern Ireland,England,1,3,British Championship,Belfast,Northern Ireland,False,4
7024,1969-05-07,England,Wales,2,1,British Championship,London,England,False,3
7028,1969-05-10,England,Scotland,4,1,British Championship,London,England,False,5
7048,1969-06-01,Mexico,England,0,0,Friendly,Mexico City,Mexico,False,0
7050,1969-06-03,Mexico,England,0,4,Friendly,Guadalajara,Mexico,False,4
7055,1969-06-08,Uruguay,England,1,2,Friendly,Montevideo,Uruguay,False,3
7057,1969-06-12,Brazil,England,2,1,Friendly,Rio de Janeiro,Brazil,False,3
7216,1969-11-05,Netherlands,England,0,1,Friendly,Amsterdam,Netherlands,False,1
7275,1969-12-10,England,Portugal,1,0,Friendly,London,England,False,1
7281,1970-01-14,England,Netherlands,0,0,Friendly,London,England,False,0
7312,1970-02-25,Belgium,England,1,3,Friendly,Brussels,Belgium,False,4
7346,1970-04-18,Wales,England,1,1,British Championship,Cardiff,Wales,False,2
7348,1970-04-21,England,Northern Ireland,3,1,British Championship,London,England,False,4
7352,1970-04-25,Scotland,England,0,0,British Championship,Glasgow,Scotland,False,0
7373,1970-05-20,Colombia,England,0,4,Friendly,Bogotá,Colombia,False,4
7374,1970-05-24,Ecuador,England,0,2,Friendly,Quito,Ecuador,False,2
7377,1970-06-02,England,Romania,1,0,FIFA World Cup,Guadalajara,Mexico,True,1
7389,1970-06-07,Brazil,England,1,0,FIFA World Cup,Guadalajara,Mexico,True,1
7398,1970-06-11,Czechoslovakia,England,0,1,FIFA World Cup,Guadalajara,Mexico,True,1
